cCiType;cCiSubType;cFKpurpose;cFKoperationSrv;cFKITSystemGK;cVendor;cModelName;SerialNo;cFKPartNumber;cFKidnumber;cFKInventoryNumber;cFKunit;iFKfloor;cFKroom;cCupboard;cLocation;dept;cMaterial;admin;cStatus;cArea;cGroup;cGarSupplier;cContractSuppName;cNameByContractSupp;dGarSupTerm;dGarDevTerm;cGarYear;cPostGatContr;cContractGuaranteeName;dPostGarContrUp1;cContractModernName;dModYearUpg1;cModContrUpg1;cContractModern2Name;dModYearUpg2;cModContrUpg2;lCPUSpeedMHz;lCPUNumber;lNumCorePerCPU;Activated;RAMVolumeFK;ram.slots.amount;ram.slots.used.amount;hdType1;hdQuantity1;hdVolume1;hdType2;hdQuantity2;hdVolume2;hdType3;hdQuantity3;hdVolume3;hdFreeSlots;IFKPower;CopperAll;CopperUsed;OpticAll;OptecUsed;cFKsobol;TcpIpHostName;TcpIpAddress;TcpIpMaskFK;TcpIpGateway;PhysicalAddress;FKctrlHost;FKctrlIP;FKctrlMask;FKctrlDomain;FKctrlMAC;cFKtofk;cUser;bUseCupboard;cCity;iLoadNum;cParentModelName;cAdmin;cStore;cNatureName
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220023;;9900-01-001594 СУЭ;;;1;Маш. зал 2;9907(2RF20.01);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 2 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;524288;24;16;SATA;4;480;;;;;;;6;604;4;1;4;4;;;;;;;GRD-KK-RACK034;10.140.229.175;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220032;;9900-01-001595 СУЭ;;;1;Маш. зал 2;9907(2RF20.03);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 2 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;524288;24;16;SATA;4;480;;;;;;;6;604;4;1;4;4;;;;;;;GRD-KK-RACK035;10.140.229.176;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220030;;9900-01-001596 СУЭ;;;1;Маш. зал 2;9507(2RF08.07);г. Дубна, ул. Технологическая, д. 2;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 2 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;524288;24;16;SATA;4;480;;;;;;;6;604;4;1;4;4;;;;;;;GRD-KK-RACK042;10.140.229.183;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220029;;9900-01-001597 СУЭ;;;1;Маш. зал 2;9907(2RF20.03);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 2 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;524288;24;16;SATA;4;480;;;;;;;6;604;4;1;4;4;;;;;;;GRD-KK-RACK043;10.140.229.184;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220027;;9900-01-001598 СУЭ;;;1;Маш. зал 2;9507(2RF08.07);г. Дубна, ул. Технологическая, д. 2;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 2 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;524288;24;16;SATA;4;480;;;;;;;6;604;4;1;4;4;;;;;;;GRD-KK-RACK044;10.140.229.185;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220026;;9900-01-001599 СУЭ;;;1;Маш. зал 2;9907(2RF20.03);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 2 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;524288;24;16;SATA;4;480;;;;;;;6;604;4;1;4;4;;;;;;;GRD-KK-RACK092;10.140.229.233;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220031;;9900-01-001600 СУЭ;;;1;Маш. зал 2;9907(2RF20.01);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 2 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;524288;24;16;SATA;4;480;;;;;;;6;604;4;1;4;4;;;;;;;GRD-KK-RACK093;10.140.229.234;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;020822002E;;9900-01-001601 СУЭ;;;1;Маш. зал 2;9507(2RF08.07);г. Дубна, ул. Технологическая, д. 2;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 2 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;524288;24;16;SATA;4;480;;;;;;;6;604;4;1;4;4;;;;;;;GRD-KK-RACK094;10.140.229.235;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220028;;9900-01-001602 СУЭ;;;1;Маш. зал 2;9907(2RF20.03);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 2 Тип 1;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;524288;24;16;SATA;4;480;;;;;;;6;604;4;1;4;4;;;;;;;GRD-KK-RACK095;10.140.229.236;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;020822004B;;9900-01-001603 СУЭ;;;1;Маш. зал 2;9907(2RF20.01);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 2;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;NVME;8;7680;;;;0;685;4;1;2;2;;;;;;;GRD-KK-RACK036;10.140.229.177;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
